RowDate,RowTime,TotalLoad
02/01/2023,18:30,10047.19
02/01/2023,18:45,9992.60
02/01/2023,19:00,9835.00
02/01/2023,19:15,9639.03
02/01/2023,19:30,9569.19
02/01/2023,19:45,9532.26
02/01/2023,20:00,9383.62
02/01/2023,20:15,9200.62
02/01/2023,20:30,9109.65
02/01/2023,20:45,8979.18
02/01/2023,21:00,8920.81
02/01/2023,21:15,8735.46
02/01/2023,21:30,8602.30
02/01/2023,21:45,8515.30
02/01/2023,22:00,8667.05
02/01/2023,22:15,8762.79
02/01/2023,22:30,8778.60
02/01/2023,22:45,8735.91
02/01/2023,23:00,8776.67
02/01/2023,23:15,8694.75
02/01/2023,23:30,8555.85
02/01/2023,23:45,8405.62
02/01/2023,02:00*,
02/01/2023,02:15*,
02/01/2023,02:30*,
02/01/2023,02:45*,
03/01/2023,00:00,8274.66
03/01/2023,00:15,8184.64
03/01/2023,00:30,8051.29
03/01/2023,00:45,7923.17
03/01/2023,01:00,7911.32
03/01/2023,01:15,7828.96
03/01/2023,01:30,7690.09
03/01/2023,01:45,7567.55
03/01/2023,02:00,7535.29
03/01/2023,02:15,7463.04
03/01/2023,02:30,7349.38
03/01/2023,02:45,7351.86
03/01/2023,03:00,7383.85
03/01/2023,03:15,7315.29
03/01/2023,03:30,7277.92
03/01/2023,03:45,7352.69
03/01/2023,04:00,7343.98
03/01/2023,04:15,7304.83
03/01/2023,04:30,7391.51
03/01/2023,04:45,7399.41
03/01/2023,05:00,7558.71
03/01/2023,05:15,7623.86
03/01/2023,05:30,7771.34
03/01/2023,05:45,7802.45
03/01/2023,06:00,8139.64
03/01/2023,06:15,8384.86
03/01/2023,06:30,8461.61
03/01/2023,06:45,8738.39
03/01/2023,07:00,8880.98
03/01/2023,07:15,9022.65
03/01/2023,07:30,9215.20
03/01/2023,07:45,9333.51
03/01/2023,08:00,9701.74
03/01/2023,08:15,9857.21
03/01/2023,08:30,9856.70
03/01/2023,08:45,9969.12
03/01/2023,09:00,10048.31
03/01/2023,09:15,10051.26
03/01/2023,09:30,10080.38
03/01/2023,09:45,10240.92
03/01/2023,10:00,10339.78
03/01/2023,10:15,10325.38
03/01/2023,10:30,10395.82
03/01/2023,10:45,10378.29
03/01/2023,11:00,10418.32
03/01/2023,11:15,10402.63
03/01/2023,11:30,10533.27
03/01/2023,11:45,10527.41
03/01/2023,12:00,10478.10
03/01/2023,12:15,10235.31
03/01/2023,12:30,10171.78
03/01/2023,12:45,10126.39
03/01/2023,13:00,10177.18
03/01/2023,13:15,10310.59
03/01/2023,13:30,10163.91
03/01/2023,13:45,10075.67
03/01/2023,14:00,10132.82
03/01/2023,14:15,10051.72
03/01/2023,14:30,9975.36
03/01/2023,14:45,9986.92
03/01/2023,15:00,10044.14
03/01/2023,15:15,10051.40
03/01/2023,15:30,10025.40
03/01/2023,15:45,10010.14
03/01/2023,16:00,10094.02
03/01/2023,16:15,10227.74
03/01/2023,16:30,10261.59
03/01/2023,16:45,10383.76
03/01/2023,17:00,10637.54
03/01/2023,17:15,10825.25
03/01/2023,17:30,10916.62
03/01/2023,17:45,11008.66
03/01/2023,18:00,10958.44
03/01/2023,18:15,10908.13
03/01/2023,18:30,10790.66
03/01/2023,18:45,10734.94
03/01/2023,19:00,10623.29
03/01/2023,19:15,10459.72
03/01/2023,19:30,10358.82
03/01/2023,19:45,10275.77
03/01/2023,20:00,10126.72
03/01/2023,20:15,9941.67
03/01/2023,20:30,9719.73
03/01/2023,20:45,9655.74
03/01/2023,21:00,9501.16
03/01/2023,21:15,9400.87
03/01/2023,21:30,9327.80
03/01/2023,21:45,9224.10
03/01/2023,22:00,9331.84
03/01/2023,22:15,9428.94
03/01/2023,22:30,9429.32
03/01/2023,22:45,9351.53
03/01/2023,23:00,9289.78
03/01/2023,23:15,9216.66
03/01/2023,23:30,9055.03
03/01/2023,23:45,8945.90
03/01/2023,02:00*,
03/01/2023,02:15*,
03/01/2023,02:30*,
03/01/2023,02:45*,
04/01/2023,00:00,8706.94
04/01/2023,00:15,8613.81
04/01/2023,00:30,8457.98
04/01/2023,00:45,8394.89
04/01/2023,01:00,8146.65
04/01/2023,01:15,8018.36
04/01/2023,01:30,7931.56
04/01/2023,01:45,7897.51
04/01/2023,02:00,7850.87
04/01/2023,02:15,7761.79
04/01/2023,02:30,7772.84
04/01/2023,02:45,7685.49
04/01/2023,03:00,7642.56
04/01/2023,03:15,7629.52
04/01/2023,03:30,7620.73
04/01/2023,03:45,7701.84
04/01/2023,04:00,7706.13
04/01/2023,04:15,7673.70
04/01/2023,04:30,7673.00
04/01/2023,04:45,7706.61
04/01/2023,05:00,7958.79
04/01/2023,05:15,8006.22
04/01/2023,05:30,8107.59
04/01/2023,05:45,8192.24
04/01/2023,06:00,8478.67
04/01/2023,06:15,8715.90
04/01/2023,06:30,8911.95
04/01/2023,06:45,9051.69
04/01/2023,07:00,9304.37
04/01/2023,07:15,9378.46
04/01/2023,07:30,9468.62
04/01/2023,07:45,9602.12
04/01/2023,08:00,9879.63
04/01/2023,08:15,10035.22
04/01/2023,08:30,10197.44
04/01/2023,08:45,10106.47
04/01/2023,09:00,10171.56
04/01/2023,09:15,10320.81
04/01/2023,09:30,10363.25
04/01/2023,09:45,10449.88
04/01/2023,10:00,10472.73
04/01/2023,10:15,10518.47
04/01/2023,10:30,10572.86
04/01/2023,10:45,10626.15
04/01/2023,11:00,10672.04
04/01/2023,11:15,10742.10
04/01/2023,11:30,10869.98
04/01/2023,11:45,10852.84
04/01/2023,12:00,10773.44
04/01/2023,12:15,10753.86
04/01/2023,12:30,10783.71
04/01/2023,12:45,10732.69
04/01/2023,13:00,10655.44
04/01/2023,13:15,10642.49
04/01/2023,13:30,10626.19
04/01/2023,13:45,10625.30
04/01/2023,14:00,10618.39
04/01/2023,14:15,10564.48
04/01/2023,14:30,10543.77
04/01/2023,14:45,10439.12
04/01/2023,15:00,10502.76
04/01/2023,15:15,10457.29
