RowDate,RowTime,TotalLoadForecast
02/01/2023,18:30,10473.79
02/01/2023,18:45,10447.18
02/01/2023,19:00,10190.30
02/01/2023,19:15,10074.20
02/01/2023,19:30,9984.51
02/01/2023,19:45,9835.11
02/01/2023,20:00,9226.79
02/01/2023,20:15,9066.36
02/01/2023,20:30,8960.55
02/01/2023,20:45,8858.67
02/01/2023,21:00,9096.89
02/01/2023,21:15,8975.52
02/01/2023,21:30,8919.21
02/01/2023,21:45,8776.27
02/01/2023,22:00,8950.59
02/01/2023,22:15,8972.24
02/01/2023,22:30,8955.75
02/01/2023,22:45,8903.18
02/01/2023,23:00,8962.71
02/01/2023,23:15,8797.01
02/01/2023,23:30,8727.86
02/01/2023,23:45,8656.66
02/01/2023,02:00*,
02/01/2023,02:15*,
02/01/2023,02:30*,
02/01/2023,02:45*,
03/01/2023,00:00,8496.85
03/01/2023,00:15,8409.88
03/01/2023,00:30,8272.75
03/01/2023,00:45,8158.64
03/01/2023,01:00,7980.57
03/01/2023,01:15,7805.43
03/01/2023,01:30,7743.75
03/01/2023,01:45,7693.40
03/01/2023,02:00,7546.94
03/01/2023,02:15,7475.51
03/01/2023,02:30,7432.80
03/01/2023,02:45,7440.21
03/01/2023,03:00,7395.75
03/01/2023,03:15,7361.76
03/01/2023,03:30,7361.50
03/01/2023,03:45,7351.29
03/01/2023,04:00,7486.01
03/01/2023,04:15,7493.48
03/01/2023,04:30,7511.06
03/01/2023,04:45,7538.95
03/01/2023,05:00,7722.33
03/01/2023,05:15,7794.53
03/01/2023,05:30,7903.28
03/01/2023,05:45,8005.89
03/01/2023,06:00,8193.78
03/01/2023,06:15,8425.19
03/01/2023,06:30,8580.31
03/01/2023,06:45,8726.46
03/01/2023,07:00,8771.35
03/01/2023,07:15,8939.45
03/01/2023,07:30,9127.03
03/01/2023,07:45,9248.08
03/01/2023,08:00,9352.05
03/01/2023,08:15,9466.69
03/01/2023,08:30,9515.90
03/01/2023,08:45,9554.62
03/01/2023,09:00,9912.37
03/01/2023,09:15,9960.08
03/01/2023,09:30,9992.45
03/01/2023,09:45,10026.81
03/01/2023,10:00,10188.11
03/01/2023,10:15,10171.05
03/01/2023,10:30,10193.75
03/01/2023,10:45,10203.61
03/01/2023,11:00,10390.59
03/01/2023,11:15,10406.39
03/01/2023,11:30,10441.05
03/01/2023,11:45,10504.63
03/01/2023,12:00,10479.10
03/01/2023,12:15,10410.44
03/01/2023,12:30,10426.33
03/01/2023,12:45,10402.61
03/01/2023,13:00,10097.28
03/01/2023,13:15,10068.71
03/01/2023,13:30,10027.69
03/01/2023,13:45,9994.29
03/01/2023,14:00,10145.11
03/01/2023,14:15,10074.35
03/01/2023,14:30,10025.29
03/01/2023,14:45,10019.90
03/01/2023,15:00,10076.72
03/01/2023,15:15,10056.04
03/01/2023,15:30,10085.25
03/01/2023,15:45,10073.01
03/01/2023,16:00,9949.76
03/01/2023,16:15,10024.92
03/01/2023,16:30,10104.95
03/01/2023,16:45,10299.93
03/01/2023,17:00,10468.30
03/01/2023,17:15,10521.47
03/01/2023,17:30,10603.15
03/01/2023,17:45,10638.13
03/01/2023,18:00,10519.26
03/01/2023,18:15,10460.29
03/01/2023,18:30,10396.16
03/01/2023,18:45,10327.07
03/01/2023,19:00,10395.37
03/01/2023,19:15,10266.96
03/01/2023,19:30,10166.85
03/01/2023,19:45,10066.24
03/01/2023,20:00,9980.14
03/01/2023,20:15,9831.92
03/01/2023,20:30,9712.24
03/01/2023,20:45,9645.00
03/01/2023,21:00,9392.09
03/01/2023,21:15,9244.14
03/01/2023,21:30,9159.92
03/01/2023,21:45,9072.93
03/01/2023,22:00,9146.88
03/01/2023,22:15,9205.18
03/01/2023,22:30,9202.48
03/01/2023,22:45,9168.73
03/01/2023,23:00,9376.13
03/01/2023,23:15,9245.86
03/01/2023,23:30,9155.04
03/01/2023,23:45,9040.57
03/01/2023,02:00*,
03/01/2023,02:15*,
03/01/2023,02:30*,
03/01/2023,02:45*,
04/01/2023,00:00,8897.38
04/01/2023,00:15,8737.98
04/01/2023,00:30,8616.86
04/01/2023,00:45,8490.18
04/01/2023,01:00,8186.31
04/01/2023,01:15,8015.17
04/01/2023,01:30,7944.60
04/01/2023,01:45,7885.32
04/01/2023,02:00,7851.62
04/01/2023,02:15,7776.99
04/01/2023,02:30,7722.67
04/01/2023,02:45,7728.09
04/01/2023,03:00,7547.29
04/01/2023,03:15,7511.02
04/01/2023,03:30,7520.32
04/01/2023,03:45,7528.68
04/01/2023,04:00,7595.76
04/01/2023,04:15,7597.69
04/01/2023,04:30,7622.59
04/01/2023,04:45,7645.12
04/01/2023,05:00,7772.01
04/01/2023,05:15,7838.78
04/01/2023,05:30,7948.49
04/01/2023,05:45,8038.03
04/01/2023,06:00,8386.90
04/01/2023,06:15,8599.10
04/01/2023,06:30,8749.50
04/01/2023,06:45,8915.87
04/01/2023,07:00,9206.76
04/01/2023,07:15,9382.89
04/01/2023,07:30,9577.46
04/01/2023,07:45,9703.00
04/01/2023,08:00,9715.68
04/01/2023,08:15,9838.58
04/01/2023,08:30,9887.50
04/01/2023,08:45,9935.41
04/01/2023,09:00,10074.08
04/01/2023,09:15,10115.66
04/01/2023,09:30,10150.93
04/01/2023,09:45,10211.42
04/01/2023,10:00,10224.50
04/01/2023,10:15,10220.08
04/01/2023,10:30,10250.05
04/01/2023,10:45,10259.41
04/01/2023,11:00,10273.03
04/01/2023,11:15,10281.52
04/01/2023,11:30,10321.40
04/01/2023,11:45,10370.26
04/01/2023,12:00,10457.97
04/01/2023,12:15,10362.92
04/01/2023,12:30,10361.02
04/01/2023,12:45,10332.18
04/01/2023,13:00,10498.05
04/01/2023,13:15,10465.83
04/01/2023,13:30,10414.73
04/01/2023,13:45,10369.60
04/01/2023,14:00,10481.28
04/01/2023,14:15,10400.55
04/01/2023,14:30,10351.25
04/01/2023,14:45,10355.47
04/01/2023,15:00,10328.89
04/01/2023,15:15,10302.24
04/01/2023,15:30,10317.55
04/01/2023,15:45,10302.02
04/01/2023,16:00,10143.80
04/01/2023,16:15,10225.30
04/01/2023,16:30,10281.98
04/01/2023,16:45,10472.92
04/01/2023,17:00,10511.98
04/01/2023,17:15,10583.58
04/01/2023,17:30,10665.14
04/01/2023,17:45,10707.16
04/01/2023,18:00,10531.73
04/01/2023,18:15,10475.46
04/01/2023,18:30,10403.10
04/01/2023,18:45,10337.10
04/01/2023,19:00,10500.39
04/01/2023,19:15,10372.92
04/01/2023,19:30,10273.76
04/01/2023,19:45,10166.03
04/01/2023,20:00,10154.53
04/01/2023,20:15,9999.92
04/01/2023,20:30,9860.98
04/01/2023,20:45,9784.25
04/01/2023,21:00,9537.62
04/01/2023,21:15,9398.97
04/01/2023,21:30,9324.72
04/01/2023,21:45,9239.69
04/01/2023,22:00,9157.47
04/01/2023,22:15,9219.36
04/01/2023,22:30,9215.37
04/01/2023,22:45,9178.57
04/01/2023,23:00,9120.90
04/01/2023,23:15,9001.84
04/01/2023,23:30,8905.50
04/01/2023,23:45,8789.62
04/01/2023,02:00*,
04/01/2023,02:15*,
04/01/2023,02:30*,
04/01/2023,02:45*,
05/01/2023,00:00,8836.27
05/01/2023,00:15,8687.52
05/01/2023,00:30,8563.89
05/01/2023,00:45,8445.81
05/01/2023,01:00,8137.28
05/01/2023,01:15,7973.63
05/01/2023,01:30,7897.92
05/01/2023,01:45,7837.75
05/01/2023,02:00,7894.22
05/01/2023,02:15,7819.37
05/01/2023,02:30,7772.53
05/01/2023,02:45,7766.82
05/01/2023,03:00,7586.24
05/01/2023,03:15,7553.99
05/01/2023,03:30,7556.92
05/01/2023,03:45,7569.66
05/01/2023,04:00,7590.26
05/01/2023,04:15,7588.46
05/01/2023,04:30,7609.41
05/01/2023,04:45,7630.77
05/01/2023,05:00,7770.04
05/01/2023,05:15,7842.46
05/01/2023,05:30,7956.16
05/01/2023,05:45,8047.18
05/01/2023,06:00,8388.42
05/01/2023,06:15,8622.57
05/01/2023,06:30,8781.72
05/01/2023,06:45,8944.39
05/01/2023,07:00,9138.64
05/01/2023,07:15,9292.41
05/01/2023,07:30,9477.53
05/01/2023,07:45,9599.33
05/01/2023,08:00,9847.29
05/01/2023,08:15,9973.38
05/01/2023,08:30,10036.53
05/01/2023,08:45,10070.89
05/01/2023,09:00,10558.23
05/01/2023,09:15,10612.97
05/01/2023,09:30,10654.58
05/01/2023,09:45,10719.62
05/01/2023,10:00,10456.53
05/01/2023,10:15,10461.12
05/01/2023,10:30,10490.79
05/01/2023,10:45,10502.30
05/01/2023,11:00,10348.05
05/01/2023,11:15,10361.26
05/01/2023,11:30,10417.97
05/01/2023,11:45,10460.18
05/01/2023,12:00,10441.99
05/01/2023,12:15,10367.49
05/01/2023,12:30,10370.89
05/01/2023,12:45,10344.90
05/01/2023,13:00,10547.56
05/01/2023,13:15,10525.85
05/01/2023,13:30,10478.08
05/01/2023,13:45,10438.01
05/01/2023,14:00,10444.17
05/01/2023,14:15,10399.62
05/01/2023,14:30,10352.09
05/01/2023,14:45,10338.01
05/01/2023,15:00,10317.56
05/01/2023,15:15,10293.13
05/01/2023,15:30,10310.08
05/01/2023,15:45,10298.34
05/01/2023,16:00,11229.58
05/01/2023,16:15,11284.07
05/01/2023,16:30,11355.81
05/01/2023,16:45,11567.23
05/01/2023,17:00,10440.17
05/01/2023,17:15,10512.49
05/01/2023,17:30,10592.27
05/01/2023,17:45,10625.08
05/01/2023,18:00,10664.00
05/01/2023,18:15,10606.51
05/01/2023,18:30,10535.58
05/01/2023,18:45,10479.31
05/01/2023,19:00,10364.62
05/01/2023,19:15,10235.15
05/01/2023,19:30,10138.79
05/01/2023,19:45,10032.63
05/01/2023,20:00,9924.86
05/01/2023,20:15,9773.69
05/01/2023,20:30,9637.21
05/01/2023,20:45,9547.77
05/01/2023,21:00,9322.79
05/01/2023,21:15,9209.70
05/01/2023,21:30,9145.61
05/01/2023,21:45,9065.97
05/01/2023,22:00,9089.09
05/01/2023,22:15,9148.84
05/01/2023,22:30,9141.68
05/01/2023,22:45,9107.32
05/01/2023,23:00,9001.38
05/01/2023,23:15,8900.34
05/01/2023,23:30,8794.60
05/01/2023,23:45,8672.33
05/01/2023,02:00*,
05/01/2023,02:15*,
05/01/2023,02:30*,
05/01/2023,02:45*,
06/01/2023,00:00,8415.07
06/01/2023,00:15,8287.73
06/01/2023,00:30,8170.08
06/01/2023,00:45,8055.79
06/01/2023,01:00,8088.73
06/01/2023,01:15,7931.41
06/01/2023,01:30,7853.66
06/01/2023,01:45,7784.83
06/01/2023,02:00,7798.08
06/01/2023,02:15,7733.44
06/01/2023,02:30,7694.09
06/01/2023,02:45,7666.02
06/01/2023,03:00,7542.31
06/01/2023,03:15,7514.90
06/01/2023,03:30,7508.83
06/01/2023,03:45,7528.40
06/01/2023,04:00,7608.32
06/01/2023,04:15,7614.89
06/01/2023,04:30,7635.31
06/01/2023,04:45,7657.75
06/01/2023,05:00,7457.28
06/01/2023,05:15,7541.50
06/01/2023,05:30,7632.03
06/01/2023,05:45,7725.30
06/01/2023,06:00,7841.43
06/01/2023,06:15,8070.35
06/01/2023,06:30,8231.80
06/01/2023,06:45,8365.12
06/01/2023,07:00,8555.46
06/01/2023,07:15,8686.11
06/01/2023,07:30,8853.14
06/01/2023,07:45,8976.09
06/01/2023,08:00,9532.35
06/01/2023,08:15,9657.35
06/01/2023,08:30,9716.72
06/01/2023,08:45,9744.54
06/01/2023,09:00,10031.70
06/01/2023,09:15,10079.80
06/01/2023,09:30,10112.11
06/01/2023,09:45,10159.12
06/01/2023,10:00,10215.91
06/01/2023,10:15,10231.87
06/01/2023,10:30,10248.14
06/01/2023,10:45,10257.85
06/01/2023,11:00,10435.14
06/01/2023,11:15,10447.52
06/01/2023,11:30,10524.26
06/01/2023,11:45,10574.07
06/01/2023,12:00,10706.96
06/01/2023,12:15,10619.08
06/01/2023,12:30,10617.65
06/01/2023,12:45,10583.06
06/01/2023,13:00,10583.07
06/01/2023,13:15,10519.74
06/01/2023,13:30,10482.28
06/01/2023,13:45,10429.30
06/01/2023,14:00,10455.75
06/01/2023,14:15,10380.19
06/01/2023,14:30,10315.17
06/01/2023,14:45,10299.35
06/01/2023,15:00,10259.15
06/01/2023,15:15,10231.80
06/01/2023,15:30,10276.46
06/01/2023,15:45,10269.93
06/01/2023,16:00,10230.39
06/01/2023,16:15,10278.89
06/01/2023,16:30,10339.30
06/01/2023,16:45,10531.65
06/01/2023,17:00,10632.96
06/01/2023,17:15,10704.24
